  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
4.641787 ,  206
4.645858 ,  236
4.649930 ,  205
4.654002 ,  223
4.658074 ,  206
4.662145 ,  174
4.666217 ,  215
4.670289 ,  205
4.674361 ,  187
4.678432 ,  204
4.682504 ,  223
4.686576 ,  233
4.690648 ,  227
4.694719 ,  193
4.698791 ,  214
4.702863 ,  214
4.706935 ,  203
4.711006 ,  202
4.715078 ,  207
4.719150 ,  200
4.723221 ,  197
4.727293 ,  203
4.731365 ,  245
4.735437 ,  208
4.739508 ,  200
4.743580 ,  186
4.747652 ,  188
4.751724 ,  201
4.755795 ,  203
4.759867 ,  181
4.763939 ,  199
4.768011 ,  205
4.772082 ,  224
4.776154 ,  236
4.780226 ,  189
4.784298 ,  201
4.788369 ,  221
4.792441 ,  191
4.796513 ,  186
4.800585 ,  228
4.804656 ,  186
4.808728 ,  220
4.812800 ,  213
4.816872 ,  192
4.820943 ,  205
4.825015 ,  216
4.829087 ,  190
4.833159 ,  185
4.837230 ,  188
4.841302 ,  183
4.845374 ,  210
4.849446 ,  207
4.853517 ,  197
4.857589 ,  217
4.861661 ,  230
4.865732 ,  188
4.869804 ,  205
4.873876 ,  182
4.877948 ,  208
4.882019 ,  186
4.886091 ,  205
4.890163 ,  178
4.894235 ,  218
4.898306 ,  184
4.902378 ,  223
4.906450 ,  186
4.910522 ,  198
4.914593 ,  189
4.918665 ,  177
4.922737 ,  205
4.926809 ,  210
4.930880 ,  200
4.934952 ,  177
4.939024 ,  221
4.943096 ,  245
4.947167 ,  239
4.951239 ,  199
4.955311 ,  207
4.959383 ,  199
4.963454 ,  192
4.967526 ,  212
4.971598 ,  210
4.975670 ,  194
4.979741 ,  209
4.983813 ,  193
4.987885 ,  212
4.991956 ,  209
4.996028 ,  191
5.000100 ,  191
5.004172 ,  193
5.008243 ,  190
5.012315 ,  212
5.016387 ,  194
5.020459 ,  217
5.024530 ,  203
5.028602 ,  196
5.032674 ,  192
5.036746 ,  185
5.040817 ,  232
5.044889 ,  226
5.048961 ,  179
5.053033 ,  186
5.057104 ,  195
5.061176 ,  187
5.065248 ,  195
5.069320 ,  181
5.073391 ,  195
5.077463 ,  190
5.081535 ,  193
5.085607 ,  191
5.089678 ,  214
5.093750 ,  214
5.097822 ,  204
5.101894 ,  190
5.105965 ,  185
5.110037 ,  175
5.114109 ,  187
5.118181 ,  191
5.122252 ,  207
5.126324 ,  195
5.130396 ,  181
5.134467 ,  198
5.138539 ,  196
5.142611 ,  209
5.146683 ,  233
5.150754 ,  212
5.154826 ,  179
5.158898 ,  183
5.162970 ,  199
5.167041 ,  208
5.171113 ,  207
5.175185 ,  205
5.179257 ,  191
5.183328 ,  188
5.187400 ,  190
5.191472 ,  165
5.195544 ,  183
5.199615 ,  187
5.203687 ,  197
5.207759 ,  178
5.211831 ,  207
5.215902 ,  182
5.219974 ,  205
5.224046 ,  174
5.228118 ,  182
5.232189 ,  186
5.236261 ,  212
5.240333 ,  180
5.244405 ,  194
5.248476 ,  172
5.252548 ,  208
5.256620 ,  195
5.260692 ,  169
5.264763 ,  205
5.268835 ,  202
5.272907 ,  197
5.276978 ,  197
5.281050 ,  202
5.285122 ,  194
5.289194 ,  173
5.293265 ,  191
5.297337 ,  185
5.301409 ,  195
5.305481 ,  228
5.309552 ,  197
5.313624 ,  197
5.317696 ,  190
5.321768 ,  192
5.325839 ,  202
5.329911 ,  202
5.333983 ,  175
5.338055 ,  207
5.342126 ,  192
5.346198 ,  224
5.350270 ,  199
